Iteration,Cost
0,460122240
1,460122240
2,460122240
3,457186240
4,457186240
5,454015226
6,454015226
7,454015226
8,454015226
9,454015226
10,454015226
11,454015226
12,454015226
13,454015226
14,454015226
15,454015226
16,454015226
17,454015226
18,454015226
19,454015226
20,454015226
21,454015226
22,453857364
23,453857364
24,453857364
25,453508519
26,453293535
27,453293535
28,453293535
29,453293535
30,453293535
31,453293535
32,453293535
33,453293535
34,451754565
35,451754565
36,451754565
37,451754565
38,451754565
39,451754565
40,451754565
41,451754565
42,451754565
43,451754565
44,451754565
45,451754565
46,451754565
47,451450604
48,451450604
49,451450604
50,451450604
51,451450604
52,451450604
53,451450604
54,451450604
55,451277635
56,451277635
57,451277635
58,451277635
59,451277635
60,451277635
61,451066512
62,451066512
63,451066512
64,451066512
65,451066512
66,451066512
67,451066512
68,451066512
69,451066512
70,451066512
71,451066512
72,451066512
73,451066512
74,451066512
75,451066512
76,451066512
77,451066512
78,451066512
79,451066512
80,451066512
81,451066512
82,451066512
83,451066512
84,451066512
85,451066512
86,451066512
87,451066512
88,451066512
89,451066512
90,451066512
91,451066512
92,451066512
93,451066512
94,451066512
95,451066512
96,451066512
97,451066512
98,451066512
99,451066512
