Iteration,Cost
0,468537555
1,468391585
2,468065430
3,466876322
4,463297322
5,463297322
6,460766322
7,460766322
8,460766322
9,460766322
10,460766322
11,460766322
12,460766322
13,460766322
14,460766322
15,460766322
16,460766322
17,460766322
18,460766322
19,459842342
20,459842342
21,459842342
22,459842342
23,459709332
24,459709332
25,459709332
26,459709332
27,459709332
28,459709332
29,459709332
30,459709332
31,459709332
32,459709332
33,459709332
34,459709332
35,459709332
36,459709332
37,459709332
38,459709332
39,459709332
40,459709332
41,459709332
42,459709332
43,459709332
44,459709332
45,459709332
46,459709332
47,459709332
48,459595382
49,458569362
50,458569362
51,458569362
52,458569362
53,458569362
54,458569362
55,458569362
56,458569362
57,457771372
58,457771372
59,457771372
60,457771372
61,457771372
62,457771372
63,457771372
64,457771372
65,457579342
66,457579342
67,457579342
68,457579342
69,457579342
70,457579342
71,457579342
72,457579342
73,457507354
74,457507354
75,457507354
76,456224367
77,456224367
78,456224367
79,456224367
80,456224367
81,456224367
82,456224367
83,456224367
84,456224367
85,456224367
86,456224367
87,456224367
88,456224367
89,456224367
90,456224367
91,456224367
92,456224367
93,456224367
94,456224367
95,456224367
96,456224367
97,456224367
98,456224367
99,456224367
