Iteration,Cost
0,445058901
1,442046775
2,442046775
3,442046775
4,442046775
5,441761640
6,441761640
7,441761640
8,441761640
9,441761640
10,441761640
11,441761640
12,441761640
13,441629640
14,440567581
15,438468681
16,438468681
17,438468681
18,438456750
19,438312750
20,438312750
21,438312750
22,438312750
23,438312750
24,438312750
25,438312750
26,438312750
27,438312750
28,438312750
29,438312750
30,438312750
31,437457748
32,437457748
33,434589748
34,434589748
35,434589748
36,434589748
37,434589748
38,434589748
39,434157755
40,434157755
41,434157755
42,434157755
43,434157755
44,433854805
45,433854805
46,433854805
47,433854805
48,433854805
49,433854805
50,433854805
51,433854805
52,433854805
53,433842805
54,433842805
55,433842805
56,433842805
57,433842805
58,433842805
59,433842805
60,433842805
61,433842805
62,433842805
63,433842805
64,433842805
65,433842805
66,433686929
67,433686929
68,433686929
69,433686929
70,433686929
71,433686929
72,433686929
73,433686929
74,433686929
75,433686929
76,433686929
77,433686929
78,433686929
79,433686929
80,433686929
81,433686929
82,433686929
83,433686929
84,433686929
85,433686929
86,433686929
87,433686929
88,433686929
89,433686929
90,433686929
91,432685933
92,432685933
93,432685933
94,432685933
95,432685933
96,432685933
97,432685933
98,432685933
99,432649943
