Iteration,Cost
0,460777484
1,460777484
2,460777484
3,460777484
4,458533454
5,458533454
6,457685399
7,456990419
8,456990419
9,455160351
10,455160420
11,454268530
12,454268530
13,454268530
14,454255540
15,453199539
16,453199470
17,453199470
18,453199470
19,453199470
20,453199470
21,453199539
22,453199539
23,452779578
24,452779578
25,452779578
26,452779578
27,452779509
28,452779509
29,452779509
30,452779509
31,452236793
32,452236793
33,452236793
34,452236793
35,450428579
36,450428579
37,450428579
38,450428579
39,450428579
40,450428579
41,450284599
42,450284599
43,450284599
44,450284599
45,450284599
46,450284599
47,450284599
48,450284599
49,450255610
50,450255679
51,450255679
52,450255679
53,450255679
54,450255679
55,449952714
56,449952645
57,449952645
58,449952645
59,449952645
60,449952645
61,449830585
62,449830585
63,449830585
64,449830585
65,449830585
66,449574575
67,449574575
68,449526605
69,449526605
70,449526605
71,449526605
72,449526605
73,449526605
74,449526605
75,449526605
76,449526605
77,449234632
78,449234632
79,449210668
80,449210668
81,449210668
82,448049623
83,448049623
84,448049623
85,448049623
86,448049623
87,448049623
88,448049623
89,448049623
90,448049623
91,448049623
92,448049623
93,448049623
94,448049623
95,448049623
96,448049623
97,448049623
98,448049623
99,448049623
