Iteration,Cost
0,470372762
1,470372762
2,470372762
3,466270693
4,465354558
5,465025443
6,464465438
7,464114550
8,464114550
9,464114550
10,464114550
11,461030424
12,461030424
13,461030424
14,461030424
15,461030424
16,461030424
17,461030424
18,461030424
19,461030424
20,459964424
21,459362432
22,459362432
23,459362432
24,459362432
25,459362432
26,459362432
27,459362432
28,459362432
29,459362432
30,457056432
31,456069387
32,456069387
33,456069387
34,456069387
35,456021377
36,456021377
37,456021377
38,456021377
39,456021377
40,456021377
41,456021377
42,456021377
43,456021377
44,455974392
45,455974392
46,455974392
47,455974392
48,455974392
49,455974392
50,455974392
51,455974392
52,455974392
53,455974392
54,455974392
55,455974392
56,455974392
57,455974392
58,455974392
59,455974392
60,455974392
61,455974392
62,455974392
63,455974392
64,455974392
65,455713413
66,455713413
67,455713413
68,455713413
69,455713413
70,455713413
71,455713413
72,455713413
73,455713413
74,455713413
75,455713413
76,455713413
77,455689413
78,455689413
79,455689413
80,455689413
81,455689413
82,455689413
83,455689413
84,455689413
85,455566399
86,455566399
87,455566399
88,455566399
89,455566399
90,455566399
91,455566399
92,455164449
93,455164449
94,455164449
95,455164449
96,455164449
97,455164449
98,455164449
99,455164449
