Iteration,Cost
0,462145783
1,462145783
2,461699007
3,461699007
4,461699007
5,460977952
6,460977952
7,459583963
8,458930985
9,458930985
10,458930985
11,458930985
12,458930985
13,458930985
14,458930985
15,458923985
16,458923985
17,458923985
18,458923985
19,458923985
20,458923985
21,458923985
22,458923985
23,458923985
24,458923985
25,458923985
26,458923985
27,458012865
28,458012865
29,458012865
30,458012865
31,458012865
32,458012865
33,458012865
34,458012865
35,458012865
36,458012865
37,458012865
38,457883922
39,457883922
40,457883922
41,457883922
42,457883922
43,457883922
44,457883922
45,457883922
46,457883922
47,457883922
48,457883922
49,457883922
50,457839070
51,457839070
52,457839070
53,457839070
54,457817148
55,457817148
56,457817148
57,457817148
58,457817148
59,457760162
60,457760162
61,457760162
62,457760162
63,457760162
64,457760162
65,457760162
66,457760162
67,457727178
68,457727178
69,457727178
70,457727178
71,457727178
72,457727178
73,457727178
74,457727178
75,457727178
76,457727178
77,457727178
78,457727178
79,457727178
80,457727178
81,457703183
82,457524196
83,457524196
84,457524196
85,457524196
86,457189186
87,457189186
88,457189186
89,457189186
90,457189186
91,457189186
92,457189186
93,457189186
94,457189186
95,457189186
96,457189186
97,457189186
98,457189186
99,457189186
