Constraint,Penalty
room_time_tracker_penalty,2241000
unavailable_room_penalty,0
student_schedule_penalty,453427000
min_days_penalty,4300
max_days_penalty,0
room_capacity_penalty,85416
soft_time_penalty,0
possible_room_penalty,2350
distribution_penalty,7310
precedence_penalty,320
same_room_penalty,180
same_start_penalty,0
different_time_penalty,0
