Constraint,Penalty
room_time_tracker_penalty,2206000
unavailable_room_penalty,0
student_schedule_penalty,451325000
min_days_penalty,3960
max_days_penalty,0
room_capacity_penalty,80144
soft_time_penalty,0
possible_room_penalty,2273
distribution_penalty,7200
precedence_penalty,410
same_room_penalty,190
same_start_penalty,0
different_time_penalty,0
