Constraint,Penalty
room_time_tracker_penalty,2252000
unavailable_room_penalty,0
student_schedule_penalty,445505000
min_days_penalty,3990
max_days_penalty,0
room_capacity_penalty,85402
soft_time_penalty,0
possible_room_penalty,1975
distribution_penalty,7070
precedence_penalty,410
same_room_penalty,190
same_start_penalty,0
different_time_penalty,0
