Constraint,Penalty
room_time_tracker_penalty,2197000
unavailable_room_penalty,0
student_schedule_penalty,445737000
min_days_penalty,4580
max_days_penalty,0
room_capacity_penalty,101337
soft_time_penalty,0
possible_room_penalty,1896
distribution_penalty,7250
precedence_penalty,410
same_room_penalty,150
same_start_penalty,0
different_time_penalty,0
