Constraint,Penalty
room_time_tracker_penalty,2425000
unavailable_room_penalty,0
student_schedule_penalty,454666000
min_days_penalty,4140
max_days_penalty,0
room_capacity_penalty,83793
soft_time_penalty,0
possible_room_penalty,2353
distribution_penalty,7300
precedence_penalty,410
same_room_penalty,190
same_start_penalty,0
different_time_penalty,0
