Constraint,Penalty
room_time_tracker_penalty,2408000
unavailable_room_penalty,0
student_schedule_penalty,430139000
min_days_penalty,4380
max_days_penalty,0
room_capacity_penalty,88521
soft_time_penalty,0
possible_room_penalty,2142
distribution_penalty,7340
precedence_penalty,380
same_room_penalty,180
same_start_penalty,0
different_time_penalty,0
