Constraint,Penalty
room_time_tracker_penalty,2252000
unavailable_room_penalty,0
student_schedule_penalty,452814000
min_days_penalty,4270
max_days_penalty,0
room_capacity_penalty,84197
soft_time_penalty,0
possible_room_penalty,1972
distribution_penalty,7270
precedence_penalty,570
same_room_penalty,170
same_start_penalty,0
different_time_penalty,0
