Constraint,Penalty
room_time_tracker_penalty,2228000
unavailable_room_penalty,0
student_schedule_penalty,457539000
min_days_penalty,4530
max_days_penalty,0
room_capacity_penalty,82254
soft_time_penalty,0
possible_room_penalty,1848
distribution_penalty,7290
precedence_penalty,560
same_room_penalty,180
same_start_penalty,0
different_time_penalty,0
