Constraint,Penalty
room_time_tracker_penalty,2206000
unavailable_room_penalty,0
student_schedule_penalty,460816000
min_days_penalty,4500
max_days_penalty,0
room_capacity_penalty,97585
soft_time_penalty,0
possible_room_penalty,1787
distribution_penalty,7240
precedence_penalty,290
same_room_penalty,200
same_start_penalty,0
different_time_penalty,0
