Constraint,Penalty
room_time_tracker_penalty,2255000
unavailable_room_penalty,0
student_schedule_penalty,442797000
min_days_penalty,3930
max_days_penalty,0
room_capacity_penalty,84345
soft_time_penalty,0
possible_room_penalty,2173
distribution_penalty,7280
precedence_penalty,410
same_room_penalty,210
same_start_penalty,0
different_time_penalty,0
