Constraint,Penalty
room_time_tracker_penalty,2268000
unavailable_room_penalty,0
student_schedule_penalty,447659000
min_days_penalty,4290
max_days_penalty,0
room_capacity_penalty,91359
soft_time_penalty,0
possible_room_penalty,1481
distribution_penalty,7330
precedence_penalty,410
same_room_penalty,200
same_start_penalty,0
different_time_penalty,0
