Iteration,Cost
0,475032819
1,475032819
2,475032819
3,475032819
4,475032819
5,474705980
6,474705980
7,474705980
8,474705980
9,474705980
10,471645854
11,469038864
12,469038864
13,469038864
14,469038864
15,469038864
16,469038864
17,469038864
18,469038864
19,469038864
20,469038864
21,469038864
22,469038864
23,468582846
24,468582846
25,468582846
26,468582846
27,468582846
28,468582846
29,468582846
30,468582846
31,468582846
32,468582846
33,468582846
34,468582846
35,468582846
36,468582846
37,468582846
38,468582846
39,468582846
40,468582846
41,468543842
42,468543842
43,468543842
44,468543842
