Iteration,Cost
0,456509761
1,456509761
2,456509761
3,456509761
4,456509761
5,456509761
6,452873635
7,452873635
8,452873635
9,452873635
10,451778705
11,451778705
12,451778705
13,451778705
14,451778705
15,451778705
16,451778705
17,451778705
18,451778705
19,451778705
20,450680718
21,450680718
22,450654703
23,450654703
24,450597687
25,450597687
26,449601677
27,449601677
28,449601677
29,449601677
30,449601677
31,449601677
32,449601677
33,449601677
34,449601677
35,449601677
36,449601677
37,449601677
38,449601677
39,449002696
40,449002696
41,448874709
42,448874709
43,448874709
44,448874709
