Iteration,Cost
0,462383760
1,459947634
2,459947634
3,459947634
4,458977419
5,458977419
6,458977419
7,458977419
8,458977419
9,458977419
10,458977419
11,458119418
12,457076424
13,456126536
14,456126536
15,456126536
16,456126536
17,456126536
18,456126536
19,456126536
20,456126536
21,456126536
22,456126536
23,456126536
24,454971546
25,454971546
26,454971546
27,454971546
28,454971546
29,454971546
30,454971546
31,454971546
32,454971546
33,454971546
34,454971546
35,454971546
36,454971546
37,454971546
38,454971546
39,454971546
40,454971546
41,454971546
42,454971546
43,454971546
44,454971546
