Iteration,Cost
0,455460828
1,455081813
2,451427687
3,451397687
4,451397687
5,451230681
6,450829546
7,450829546
8,450829546
9,449851546
10,449851546
11,449728537
12,449086537
13,449086537
14,448028478
15,448028478
16,448028478
17,448000368
18,448000368
19,448000368
20,447929413
21,447929413
22,447222486
23,447222486
24,447049448
25,447049448
26,444325448
27,444168477
28,444168477
29,444168477
30,444168477
31,442087322
32,442087322
33,442087322
34,442087322
35,442087322
36,442087322
37,442087322
38,442087322
39,442087322
40,442087322
41,442087322
42,442087322
43,442087322
44,442087322
