Iteration,Cost
0,459602716
1,458430756
2,458430756
3,458430756
4,458430756
5,458430756
6,458430756
7,456249756
8,456249756
9,456249756
10,456237825
11,456138845
12,456138845
13,456138845
14,456138845
15,456138845
16,456138845
17,456138845
18,456138845
19,456138845
20,456138845
21,456138845
22,456138845
23,456138845
24,456138845
25,456138845
26,456138845
27,456138845
28,456138845
29,456138845
30,456138845
31,456138845
32,456138845
33,456138845
34,456138845
35,455767876
36,455767876
37,455767876
38,455767876
39,455767876
40,455767876
41,455767876
42,455767876
43,455767876
44,455767876
