Iteration,Cost
0,459959280
1,459236212
2,459236212
3,459236212
4,456251212
5,455955111
6,455955111
7,455517137
8,455517137
9,455517137
10,455517137
11,455517137
12,455517137
13,455517137
14,455517137
15,455517137
16,455517137
17,455517137
18,455517137
19,455517137
20,455517137
21,455325286
22,455325286
23,455185169
24,455185169
25,455185169
26,455185169
27,455185169
28,455185169
29,454730167
30,453769167
31,453769167
32,453769167
33,453769167
34,453769167
35,453769167
36,453769167
37,453769167
38,453769167
39,453769167
40,453625177
41,453625177
42,453625177
43,453625177
44,453625177
