Iteration,Cost
0,471464561
1,471464561
2,471464561
3,471464561
4,471464561
5,471272581
6,469489571
7,469489571
8,469489571
9,468084502
10,468084502
11,468084502
12,468084502
13,468084502
14,468084502
15,468084502
16,466884417
17,466365452
18,463545452
19,463545452
20,463545452
21,463545452
22,463545452
23,463534521
24,463534521
25,463534521
26,460394521
27,460394521
28,460340617
29,460340617
30,460340617
31,460340617
32,460340617
33,460340617
34,460340617
35,460340617
36,460340617
37,460340617
38,460340617
39,460340617
40,460340617
41,460340617
42,460340617
43,460340617
44,460340617
