Iteration,Cost
0,456627232
1,456627232
2,453702106
3,453702106
4,452087991
5,452087991
6,451870826
7,451843778
8,451586758
9,451586758
10,451586758
11,451586758
12,450784768
13,450784768
14,450784768
15,450421768
16,450421768
17,450421768
18,450421768
19,450421768
20,450421768
21,450421768
22,450421768
23,450421768
24,450421768
25,450412764
26,450412764
27,450412764
28,450412764
29,450412764
30,450412764
31,450412764
32,450412764
33,450412764
34,450412764
35,450412764
36,450400764
37,450400764
38,450400764
39,449837859
40,449837859
41,449837859
42,449837859
43,449837859
44,449837859
