Iteration,Cost
0,449237791
1,449237791
2,449237791
3,449237791
4,446357665
5,446357665
6,446357665
7,446357665
8,446357665
9,446357665
10,446357665
11,446357665
12,446357665
13,445557671
14,445411727
15,445411727
16,445411727
17,445411727
18,445363737
19,445363737
20,445363737
21,445363737
22,445363737
23,445363737
24,445363737
25,444145767
26,444145767
27,444145767
28,444145767
29,444145767
30,444145767
31,444145767
32,444145767
33,444145767
34,443395754
35,443395754
36,443395754
37,443395754
38,443395754
39,443395754
40,443395754
41,443395754
42,443395754
43,443395754
44,443395754
