Iteration,Cost
0,461467383
1,461467383
2,461467383
3,460444403
4,460444403
5,460444403
6,460444403
7,457576403
8,456967377
9,456967377
10,456967377
11,456967377
12,456967377
13,455287308
14,455287308
15,455287308
16,455287308
17,455287308
18,455287308
19,455287308
20,455287308
21,455287308
22,455287308
23,455287308
24,455287308
25,455287308
26,455287308
27,455287308
28,455287308
29,455275377
30,455275377
31,455275377
32,455275377
33,455275377
34,455275377
35,455275377
36,455275377
37,455275377
38,455275377
39,455275377
40,455275377
41,455275377
42,455275377
43,455275377
44,455275377
45,455275377
46,455245287
47,453583240
48,453583240
49,453583240
50,453583240
51,453583240
52,453583240
53,453583240
54,453583240
55,453583240
56,453583240
57,453583240
58,453583240
59,453583240
60,453583240
61,453583240
62,453583240
63,453583240
64,453583240
65,453583240
66,453583240
67,453583240
68,453583240
69,453583240
70,453160411
71,453160411
72,453160411
73,453160411
74,453160411
75,453160411
76,452830528
77,452830528
78,452830528
79,452830528
80,452830528
81,452830528
82,452830528
83,452830528
84,452830528
85,452830528
86,452830528
87,450224534
88,450224534
89,450224534
