Iteration,Cost
0,468549497
1,468549497
2,468068467
3,468068467
4,468068467
5,466264527
6,466252596
7,466252596
8,466252596
9,466252596
10,466252596
11,465236680
12,465236680
13,464636832
14,464636832
15,461141832
16,461141832
17,461141832
18,461141832
19,461141832
20,461141832
21,461141832
22,461141832
23,461141832
24,461141832
25,461141832
26,461141832
27,461141832
28,461141832
29,459342577
30,459342577
31,459342577
32,458669499
33,458669499
34,458669499
35,458669499
36,457499679
37,457499679
38,457499679
39,457499679
40,457499679
41,457495571
42,457495571
43,457495571
44,457495571
45,457495571
46,457495571
47,454271571
48,454271571
49,454271571
50,454271571
51,454271571
52,454271571
53,454271571
54,454271571
55,454271571
56,454271571
57,454271571
58,454271571
59,454271571
60,454271571
61,454271571
62,454271571
63,454271571
64,454271571
65,454271571
66,454271571
67,454271571
68,454271571
69,454271571
70,454271571
71,454271571
72,454271571
73,454271571
74,454271571
75,454271571
76,454271571
77,454271571
78,454271571
79,454271571
80,454271571
81,454271571
82,454271571
83,454271571
84,454271571
85,454271571
86,454271571
87,454271571
88,453947609
89,453947609
