Iteration,Cost
0,455849584
1,455300535
2,455300535
3,454169420
4,454169420
5,453365265
6,453365265
7,452585433
8,452585433
9,452585433
10,452513433
11,452513433
12,452513433
13,449546261
14,449546261
15,449546261
16,449546261
17,449546261
18,449546261
19,449546261
20,449036406
21,446336406
22,446237402
23,446237402
24,445766279
25,445766279
26,445766279
27,445766279
28,445766279
29,445766279
30,445766279
31,445766279
32,445766279
33,445652294
34,445652294
35,445652294
36,445652294
37,445652294
38,445436310
39,445436310
40,445436310
41,445436310
42,445436310
43,445436310
44,445436310
45,445436310
46,445436310
47,445436310
48,445434331
49,445434331
50,445434331
51,445434331
52,445434331
53,445434331
54,445434331
55,445434331
56,445434331
57,445434331
58,445434331
59,445434331
60,445434331
61,445434331
62,445434331
63,445434331
64,445434331
65,445434331
66,445434331
67,445434331
68,445434331
69,445434331
70,445434331
71,445434331
72,445434331
73,445434331
74,445434331
75,445434331
76,445150348
77,445150348
78,445150348
79,445150348
80,445150348
81,445150348
82,445150348
83,445150348
84,445150348
85,445150348
86,445150348
87,445150348
88,445150348
89,445150348
