Iteration,Cost
0,448747827
1,448632702
2,448632702
3,448632702
4,448631702
5,448403682
6,448403682
7,448403682
8,448403682
9,448403682
10,448403682
11,448126673
12,448126673
13,448126673
14,448126673
15,448126673
16,448126673
17,448126673
18,448126673
19,448126673
20,445054547
21,444923648
22,444923648
23,444923648
24,444923648
25,444923648
26,444923648
27,444923648
28,444923648
29,444923648
30,444923648
31,444923648
32,444923648
33,444923648
34,444673557
35,444673557
36,444673557
37,444673557
38,444673557
39,444673557
40,444673557
41,444673557
42,444673557
43,444673557
44,444673557
45,444673557
46,444673557
47,444673557
48,444673557
49,444673557
50,444673557
51,444673557
52,444673557
53,444673557
54,444673557
55,444673557
56,444673557
57,444097573
58,444097573
59,444097573
60,444097573
61,444097573
62,444097573
63,443137699
64,443137699
65,443137699
66,443137699
67,443137699
68,443137699
69,443137699
70,443137699
71,443137699
72,443137699
73,443137699
74,443137699
75,443137699
76,443137699
77,440824571
78,440824571
79,440824571
80,440824571
81,440824571
82,440824571
83,440824571
84,440824571
85,440824571
86,440824571
87,440824571
88,440824571
89,440824571
