Iteration,Cost
0,466373707
1,465375707
2,465375707
3,461937581
4,461937581
5,461937581
6,461937581
7,461937581
8,461937581
9,458867581
10,458867581
11,458867581
12,458867581
13,458420570
14,458253591
15,458253591
16,458253591
17,458211524
18,458211524
19,458211524
20,458211524
21,458211524
22,458211524
23,458211524
24,458211524
25,458211524
26,458211524
27,458211524
28,458211524
29,457812455
30,457812455
31,457812455
32,457812455
33,457812455
34,457488464
35,457488464
36,457488464
37,455628463
38,455628463
39,455628463
40,455628463
41,455628463
42,455628463
43,455628463
44,455628463
45,455628463
46,455628463
47,451657483
48,451657483
49,451657483
50,451657483
51,451657483
52,451657483
53,451657483
54,451657483
55,451657483
56,451657483
57,451657483
58,451657483
59,451657483
60,451657483
61,451657483
62,451657483
63,451657483
64,451528413
65,451528413
66,451528413
67,451528413
68,450748413
69,450748413
70,450748413
71,450748413
72,450748413
73,450748413
74,450377399
75,450377399
76,450377399
77,450377399
78,450377399
79,450377399
80,450377399
81,450377399
82,449223405
83,447863461
84,447863461
85,447863461
86,446955379
87,446955379
88,446955379
89,446955379
