Iteration,Cost
0,459209046
1,459209046
2,459209046
3,459209046
4,459209046
5,459209046
6,459209046
7,455703046
8,455703046
9,455703046
10,455703046
11,455703046
12,452187046
13,452187046
14,452187046
15,452187046
16,452184046
17,452184046
18,452184046
19,451249096
20,451249096
21,451249096
22,451249096
23,451249096
24,451249096
25,451249096
26,451249096
27,451249096
28,451249096
29,451249096
30,451249096
31,451249096
32,450811106
33,450811106
34,450811106
35,450811106
36,450811106
37,450811106
38,450811106
39,450799175
40,450799175
41,450799175
42,450799175
43,450799175
44,450799175
45,450799175
46,450799175
47,448399413
48,448399413
49,448399413
50,448399413
51,448399413
52,448399413
53,448399413
54,448399413
55,448399413
56,448399413
57,448399413
58,448399413
59,448399413
60,448399413
61,448399413
62,448399413
63,448399413
64,448399413
65,448399413
66,448399413
67,448399413
68,448399413
69,448399413
70,448399413
71,448399413
72,448399413
73,448399413
74,448399413
75,448399413
76,448399413
77,448141514
78,448141514
79,448141514
80,448141514
81,448141514
82,448141514
83,447301514
84,447301514
85,447301514
86,447301514
87,447301514
88,447301514
89,447301514
