Iteration,Cost
0,468490448
1,468490448
2,468490448
3,468378448
4,468378448
5,468378448
6,465546448
7,465546448
8,465546448
9,465546448
10,465546448
11,465546448
12,465414509
13,465414509
14,461971509
15,461971509
16,461971509
17,461971509
18,461971509
19,461971509
20,461918515
21,461918515
22,461918515
23,461655632
24,461655632
25,461655632
26,461655632
27,461655632
28,461655632
29,460857643
30,460857643
31,460023784
32,460023784
33,460023784
34,460023784
35,460023784
36,460023784
37,460023784
38,460023784
39,460023784
40,460023784
41,460023784
42,459863662
43,459863662
44,459863662
45,459863662
46,459863662
47,459863662
48,459863662
49,459863662
50,459863662
51,459863662
52,459863662
53,459863662
54,459863662
55,459863662
56,459863662
57,459863662
58,459863662
59,459863662
60,459863662
61,459863662
62,459863662
63,459863662
64,459863662
65,459863662
66,459863662
67,459863662
68,459863662
69,459863662
70,459863662
71,459863662
72,459863662
73,459863662
74,459863662
75,459863662
76,459863662
77,459863662
78,459863662
79,459863662
80,459863662
81,459863662
82,459863662
83,459863662
84,459863662
85,459863662
86,459863662
87,459863662
88,459863662
89,459863662
