Iteration,Cost
0,469330418
1,469330418
2,469330418
3,469114531
4,469114531
5,469114531
6,469114531
7,469114531
8,469114531
9,469114531
10,466950541
11,466950541
12,466950541
13,466950541
14,466950541
15,466950541
16,466950541
17,464277541
18,464277541
19,464277541
20,464277541
21,464277541
22,464277541
23,464220596
24,464220596
25,464220596
26,464220596
27,464220596
28,464220596
29,464220596
30,463971596
31,463971596
32,463971596
33,463971596
34,463971596
35,463971596
36,463971596
37,463671596
38,463671596
39,463671596
40,463671596
41,463671596
42,463671596
43,463671596
44,463258595
45,463258595
46,463258595
47,463258595
48,463258595
49,463258595
50,463258595
51,463258595
52,463258595
53,463258595
54,463258595
55,463258595
56,463258595
57,463258595
58,463258595
59,463258595
60,463258595
61,463258595
62,463258595
63,463258595
64,463258595
65,463258595
66,463258595
67,463258595
68,463252595
69,463252595
70,463252595
71,463252595
72,463252595
73,463252595
74,463252595
75,463252595
76,463252595
77,463252595
78,463252595
79,463252595
80,463252595
81,463133602
82,463133602
83,463133602
84,463133602
85,463133602
86,463133602
87,463133602
88,463133602
89,463133602
