Iteration,Cost
0,461506232
1,461118124
2,460024154
3,456544154
4,456544154
5,456544154
6,456076124
7,455978104
8,455978104
9,455978104
10,455978104
11,455978104
12,455978104
13,455978104
14,455978104
15,455978104
16,455978104
17,455978173
18,452748173
19,452748173
20,452748173
21,452748163
22,452748163
23,452748163
24,452418163
25,452418163
26,452418163
27,452418094
28,452418094
29,452418094
30,452418094
31,452418094
32,452418094
33,452418094
34,452418094
35,452395109
36,452395109
37,452395109
38,452395109
39,452395109
40,451522095
41,451522095
42,451522095
43,451522095
44,451522095
45,450795084
46,450795084
47,450795084
48,450795084
49,450795084
50,450795084
51,450795084
52,450795084
53,450570036
54,450570036
55,450570036
56,450481054
57,450481054
58,450481054
59,450272078
60,450272078
61,450272078
62,450272078
63,450272078
64,450272078
65,450272078
66,450272078
67,450272078
68,450272078
69,450272078
70,450272078
71,450272078
72,450272078
73,450272078
74,450272078
75,450272078
76,450272078
77,450272078
78,450272078
79,450272078
80,450129040
81,450129040
82,450129040
83,450032070
84,450032070
85,450032070
86,450032070
87,450032070
88,450032070
89,450032070
