Iteration,Cost
0,461883855
1,459015855
2,459015855
3,459015855
4,459015855
5,459015855
6,459015855
7,459015855
8,459015855
9,459015855
10,458928747
11,455811747
12,455811747
13,455811747
14,455811747
15,455811747
16,455811747
17,455811747
18,455811747
19,455811747
20,455811747
21,455811744
22,455811744
23,455811744
24,455811744
25,455811744
26,455811744
27,455811744
28,455811744
29,455771744
30,455771744
31,455771744
32,455771744
33,455771744
34,454977734
35,454977734
36,454977734
37,454977734
38,454977734
39,454977734
40,454977734
41,454977734
42,454977734
43,454977734
44,454977734
45,454977734
46,454977734
47,454977734
48,454977734
49,454977734
50,454321768
51,454321768
52,454321768
53,454321768
54,454321768
55,454141768
56,454141768
57,454141768
58,454141768
59,454141768
60,454141768
61,454141768
62,454141768
63,454141768
64,454141768
65,454141768
66,454141768
67,454141768
68,454141768
69,454141768
70,454141768
71,454141768
72,454141768
73,454141768
74,454141768
75,454141768
76,454141768
77,454141768
78,454141768
79,454141768
80,454141768
81,454141768
82,454141768
83,453220744
84,453220744
85,453220744
86,453220744
87,453220744
88,453220744
89,453220744
